n,quickSort,heapSort,mergeSort
1,0.00299832,0.0145554,0.00671809
2,0.0052114,0.0294731,0.013789
3,0.00795331,0.0461655,0.0228351
4,0.0116972,0.0648278,0.0289492
5,0.012465,0.0818459,0.0359497
6,0.0147864,0.0998475,0.0443216
7,0.0170458,0.119238,0.052705
8,0.0203365,0.138237,0.0604757
9,0.0250892,0.157187,0.0688181
10,0.025909,0.182461,0.078517
11,0.0276185,0.202465,0.0877875
12,0.031281,0.217368,0.0934062
13,0.0327748,0.234112,0.101667
14,0.034392,0.252134,0.10843
15,0.037091,0.274545,0.11977
16,0.0426241,0.298472,0.1275
17,0.0441179,0.317638,0.139742
18,0.0487525,0.342566,0.149199
19,0.0522293,0.361999,0.169281
20,0.0504506,0.396132,0.161671
