n,quickSort,heapSort,mergeSort
1,0.00275168,0.0145427,0.00670275
2,0.0049935,0.0297911,0.0141918
3,0.00754102,0.0490951,0.0220921
4,0.00991157,0.0663757,0.029548
5,0.0111424,0.0835667,0.0371653
6,0.0137875,0.10314,0.0441126
7,0.0155346,0.120126,0.0515093
8,0.018627,0.140677,0.0618379
9,0.0211489,0.158972,0.068223
10,0.0231941,0.179138,0.0757916
11,0.0251135,0.202354,0.0831568
12,0.0289731,0.212177,0.0933788
13,0.0279231,0.232685,0.100883
14,0.0339033,0.257621,0.10793
15,0.0357559,0.270893,0.115085
16,0.0378937,0.295385,0.124078
17,0.040079,0.31381,0.132832
18,0.0434135,0.337578,0.141133
19,0.0436745,0.361924,0.1536
20,0.0483442,0.385419,0.157865
