n,quickSort,heapSort,mergeSort
1,0.011681,0.0179994,0.0127132
2,0.0224475,0.0433866,0.0294849
3,0.0347786,0.0645914,0.0430414
4,0.0485005,0.0904472,0.0582947
5,0.0616984,0.111322,0.0708657
6,0.0720822,0.143899,0.088916
7,0.0870891,0.168839,0.1053
8,0.0991946,0.199978,0.118652
9,0.11836,0.237414,0.134461
10,0.129998,0.266159,0.153569
11,0.151783,0.311208,0.178082
12,0.168993,0.347429,0.194813
13,0.167415,0.342462,0.202008
14,0.176998,0.35191,0.226475
15,0.19012,0.405573,0.229826
16,0.208949,0.441266,0.253238
17,0.220825,0.475199,0.270062
18,0.236479,0.512389,0.285601
19,0.244444,0.497144,0.294885
20,0.252639,0.538278,0.321991
