n,quickSort,heapSort,mergeSort
1,0.00773519,0.000957637,0.00693774,0.0189823
2,0.0131449,0.00211776,0.0147314,0.0189823
3,0.0196922,0.00300032,0.0218447,0.0189823
4,0.0277875,0.00386222,0.0327544,0.0189823
5,0.0340664,0.00518766,0.0391035,0.0189823
6,0.0404222,0.00684132,0.0453228,0.0189823
7,0.0471112,0.00705079,0.0526077,0.0189823
8,0.0561056,0.00819913,0.0603349,0.0189823
9,0.0621805,0.00881611,0.0701755,0.0189823
10,0.0745929,0.00953917,0.0767677,0.0189823
11,0.0763841,0.0109541,0.0843065,0.0189823
12,0.0837548,0.0119881,0.100961,0.0189823
13,0.0921179,0.0136,0.100997,0.0189823
14,0.100251,0.0137542,0.108923,0.0189823
15,0.108556,0.0150459,0.11669,0.0189823
16,0.11773,0.0166973,0.126453,0.0189823
17,0.120381,0.0182223,0.131877,0.0189823
18,0.129769,0.0182676,0.139212,0.0189823
19,0.137828,0.0192731,0.146451,0.0189823
20,0.144425,0.0207739,0.158202,0.0189823
