n,quickSort,heapSort,mergeSort
1,0.00336601,0.0145737,0.00686262,0.0189823
2,0.00566737,0.0301604,0.0146706,0.0189823
3,0.00861847,0.0474353,0.0221796,0.0189823
4,0.0102213,0.0649131,0.0297673,0.0189823
5,0.0131563,0.0832687,0.0361488,0.0189823
6,0.0161476,0.100339,0.0462826,0.0189823
7,0.0191943,0.121354,0.0536932,0.0189823
8,0.0209987,0.137206,0.0611299,0.0189823
9,0.0239764,0.167633,0.0688784,0.0189823
10,0.0263242,0.177508,0.0759183,0.0189823
11,0.0296889,0.196261,0.0845828,0.0189823
12,0.030116,0.218863,0.0937591,0.0189823
13,0.0351635,0.231412,0.101502,0.0189823
14,0.03692,0.253312,0.109864,0.0189823
15,0.0399545,0.273642,0.12395,0.0189823
16,0.0425336,0.287508,0.127467,0.0189823
17,0.0448568,0.309475,0.134319,0.0189823
18,0.0470888,0.344308,0.142282,0.0189823
19,0.0496377,0.351088,0.149087,0.0189823
20,0.0518882,0.370477,0.156383,0.0189823
