n,quickSort,heapSort,mergeSort
1,0.00246938,0.0148166,0.0068237,0.0189823
2,0.0048398,0.0318691,0.0143807,0.0189823
3,0.00730664,0.0484169,0.022468,0.0189823
4,0.00957294,0.0675853,0.0296827,0.0189823
5,0.0122105,0.0832958,0.0369519,0.0189823
6,0.0145427,0.103516,0.0447174,0.0189823
7,0.0166692,0.119599,0.0523846,0.0189823
8,0.0196188,0.138923,0.0608391,0.0189823
9,0.0225963,0.157955,0.0682574,0.0189823
10,0.0247318,0.175838,0.0767568,0.0189823
11,0.0272561,0.196418,0.0839391,0.0189823
12,0.0283257,0.214326,0.0917567,0.0189823
13,0.0316347,0.232689,0.100067,0.0189823
14,0.0339825,0.252261,0.108421,0.0189823
15,0.0366146,0.271815,0.117545,0.0189823
16,0.0390142,0.290873,0.125171,0.0189823
17,0.0424777,0.311452,0.132267,0.0189823
18,0.0432907,0.335982,0.140475,0.0189823
19,0.0440478,0.350215,0.147177,0.0189823
20,0.0473615,0.371344,0.157329,0.0189823
