n,quickSort,heapSort,mergeSort
1,0.011943,0.0186509,0.0128955,0.0189823
2,0.0232139,0.0413227,0.0265737,0.0189823
3,0.0348387,0.0644438,0.0407494,0.0189823
4,0.0472699,0.085527,0.0559367,0.0189823
5,0.0594128,0.110683,0.0702561,0.0189823
6,0.0736971,0.136479,0.0858522,0.0189823
7,0.085659,0.162336,0.100824,0.0189823
8,0.0962056,0.185492,0.115311,0.0189823
9,0.110234,0.212203,0.131247,0.0189823
10,0.12256,0.237024,0.146627,0.0189823
11,0.14431,0.265864,0.162777,0.0189823
12,0.147898,0.292305,0.177871,0.0189823
13,0.161059,0.320967,0.193389,0.0189823
14,0.171572,0.347394,0.213828,0.0189823
15,0.18799,0.374619,0.224548,0.0189823
16,0.200052,0.403086,0.240468,0.0189823
17,0.212412,0.430469,0.255105,0.0189823
18,0.226902,0.47013,0.271875,0.0189823
19,0.240739,0.492089,0.287637,0.0189823
20,0.257313,0.530462,0.306847,0.0189823
