n,bubbleSort,heapSort,countingSort,shellSort
1,0.0579432,0.000689852,6.0207e-05,0.000650335
2,0.225631,0.00141947,0.000102335,0.00149468
3,0.541049,0.00214713,0.00022187,0.00231261
4,0.980533,0.00324999,0.000257891,0.0032731
5,1.57848,0.00383914,0.000298921,0.00426556
6,2.27798,0.00469707,0.000349825,0.00524406
7,3.131,0.0057378,0.000429554,0.00594093
8,4.13866,0.00660671,0.000651898,0.00738452
9,5.25478,0.00799709,0.000545292,0.00804497
10,6.50009,0.00881068,0.00058396,0.0093818
11,7.9262,0.00999004,0.000647973,0.00979497
12,9.47183,0.0109512,0.000684649,0.0107038
13,11.1369,0.01187,0.000834728,0.0118731
14,12.9069,0.0128774,0.000927302,0.0122625
15,14.8336,0.0137024,0.000857432,0.0136589
16,16.9028,0.0146305,0.000903228,0.0154361
17,19.117,0.0156015,0.000954064,0.0164221
18,21.4112,0.0182017,0.00101108,0.0162574
19,23.8726,0.0180466,0.00107224,0.0175891
20,26.5214,0.0188217,0.00125022,0.0189823
