n,quickSort,heapSort,mergeSort
1,0.0373713,0.0155106,0.00688025,0.0189823
2,0.127608,0.0311515,0.0146914,0.0189823
3,0.282017,0.0486714,0.0222877,0.0189823
4,0.600433,0.0662778,0.0302267,0.0189823
5,0.675527,0.0854748,0.0372732,0.0189823
6,1.41942,0.105333,0.0451857,0.0189823
7,1.39371,0.121493,0.0532372,0.0189823
8,1.83636,0.143457,0.0619054,0.0189823
9,3.7058,0.161614,0.068802,0.0189823
10,3.20546,0.180854,0.0759787,0.0189823
11,3.30021,0.200297,0.0840339,0.0189823
12,3.96852,0.221377,0.093234,0.0189823
13,3.68949,0.240579,0.101059,0.0189823
14,6.92403,0.261638,0.110315,0.0189823
15,7.29786,0.282354,0.117258,0.0189823
16,8.13916,0.299717,0.128816,0.0189823
17,8.17048,0.322984,0.134858,0.0189823
18,8.26858,0.343812,0.142637,0.0189823
19,10.1891,0.365579,0.150032,0.0189823
20,15.7538,0.392907,0.159005,0.0189823
