n,quickSort,heapSort,mergeSort
1,0.00691319,0.0009321,0.00694291
2,0.0128605,0.00203447,0.0143405
3,0.0199865,0.00285412,0.0215931
4,0.0273813,0.00604472,0.0322031
5,0.0330668,0.00516028,0.0379166
6,0.0390853,0.00598791,0.0454483
7,0.0437675,0.00660365,0.0522535
8,0.0517644,0.0076006,0.0599047
9,0.0593252,0.00867003,0.0699452
10,0.0736531,0.00981662,0.0752692
11,0.0743759,0.0102933,0.0832838
12,0.0829258,0.0117494,0.0960731
13,0.0868943,0.0122814,0.10573
14,0.0933261,0.0131306,0.109283
15,0.103757,0.0146163,0.119105
16,0.106604,0.015025,0.128049
17,0.117156,0.0163271,0.131043
18,0.124018,0.01679,0.141357
19,0.130396,0.0183544,0.150576
20,0.138645,0.0204234,0.159303
