n,quickSort,heapSort,mergeSort
1,0.0362594,0.0145389,0.00711069
2,0.127542,0.0302789,0.0140258
3,0.283579,0.0479136,0.0212119
4,0.583542,0.0670246,0.0290569
5,0.673656,0.0865416,0.0367677
6,1.49443,0.112737,0.0485069
7,1.49714,0.130819,0.054694
8,1.86846,0.151752,0.0634894
9,3.9588,0.172122,0.0705701
10,3.32162,0.190863,0.0784703
11,3.53721,0.243205,0.0868181
12,4.41412,0.229926,0.0981167
13,3.92752,0.26225,0.110319
14,7.31179,0.269311,0.110773
15,7.63052,0.2893,0.121187
16,8.36856,0.310736,0.131017
17,8.23924,0.3245,0.133604
18,8.21419,0.348368,0.141156
19,10.2217,0.370305,0.154347
20,16.4718,0.437436,0.212556
