n,quickSort,heapSort,mergeSort
1,0.0397508,0.0171038,0.00864925
2,0.0548142,0.0374651,0.0166875
3,0.327021,0.0550092,0.0279491
4,0.909051,0.0693224,0.034554
5,0.930738,0.0896857,0.0381034
6,0.301489,0.107423,0.047566
7,1.77124,0.124326,0.0546538
8,3.2787,0.144827,0.0612245
9,2.28457,0.173822,0.0716835
10,10.4648,0.207506,0.0787436
11,9.11425,0.208686,0.0850112
12,6.5636,0.218846,0.0920848
13,1.02948,0.237445,0.0997557
14,5.68915,0.266097,0.111507
15,7.39343,0.276715,0.116572
16,3.7292,0.312824,0.127107
17,5.22015,0.33176,0.135698
18,2.39018,0.347003,0.146869
19,1.5876,0.375575,0.157077
20,5.05095,0.396693,0.157469
